"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164329879,2021273,1632993767.5,GERES,GE_043,coh,-1,2,332.95449,4.8816587,0.25599389,0.021804344,6.8816485,0.19047067,11.831394,1.3466458,1.3333333,3,-1,2021-09-30 09:36:30
164329880,2021273,1632993823.875,GERES,GE_024,coh,-1,1.5,296.01415,2.5369262,0.279074,0.012355749,8.5096254,0.32276502,65.503007,1.2005286,1,1,-1,2021-09-30 09:36:30
164330796,2021273,1632996340.525,GERES,GE_015,coh,-1,1.5,43.215157,2.7920554,0.29967563,0.014601916,9.323019,0.32433596,46.900743,1.1377102,1,2,-1,2021-09-30 10:24:29
164330797,2021273,1632996399.925,GERES,GE_084,coh,-1,3,62.458001,3.0560645,0.16012729,0.008539919,9.6844997,0.21782398,34.279299,1.1115337,2,1,-1,2021-09-30 10:24:29
164330798,2021273,1632996426.225,GERES,GE_050,coh,-1,2,67.077199,3.1878788,0.26188041,0.01456888,7.9287314,0.28524989,26.501449,1.2491827,1.3333333,1,-1,2021-09-30 10:24:29
164330799,2021273,1632996440.45,GERES,GE_017,coh,-1,1.5,66.214116,2.4415681,0.27670327,0.011790376,10.792525,0.36606589,71.935647,1.0369906,1,1,-1,2021-09-30 10:24:29
164330800,2021273,1632996551.35,GERES,GE_014,coh,-1,1.5,6.795944,6.159147,0.23323861,0.025060472,43.427681,1.5334232,15.922855,0.685,1,2,-1,2021-09-30 10:24:29
164335336,2021273,1633010649.525,GERES,GE_026,coh,-1,2,58.24052,33.644562,0.029637794,0.017154596,5.0373545,0.11189698,19.114414,1.5613265,1.3333333,2,-1,2021-09-30 14:16:13
164336867,2021273,1633015884.825,GERES,GE_028,coh,-1,2,90,36.882905,0.028799981,0.01822091,5.5673766,0.1013966,16.942669,1.492484,1.3333333,3,-1,2021-09-30 15:48:04
164336868,2021273,1633016154.125,GERES,GE_005,coh,-1,1.5,188.67317,19.350567,0.071618945,0.024073154,3.544297,0.073635653,17.255734,1.72,1,1,-1,2021-09-30 15:48:04
164340638,2021273,1633030637.075,GERES,GE_041,coh,-1,2,257.38811,8.2712111,0.26929758,0.038842014,8.4893513,0.1117057,3.7283654,1.20217,1.3333333,3,-1,2021-09-30 19:46:31
164352035,2021274,1633078665.85,GERES,GE_118,coh,-1,4.5,326.73937,3.4543249,0.14989326,0.0090355977,6.9965787,0.26827449,13.609531,1.3352483,3,2,-1,2021-10-01 09:06:14
164352036,2021274,1633078679.175,GERES,GE_113,coh,-1,4.5,189.18054,7.7274726,0.12034143,0.016218131,7.8050432,0.3688491,4.2243052,1.2600021,3,3,-1,2021-10-01 09:06:14
164352037,2021274,1633078797.25,GERES,GE_086,coh,-1,3,118.68856,4.6446131,0.15213884,0.012329575,5.6709404,0.13741563,16.445355,1.4798011,2,1,-1,2021-10-01 09:06:14
164352038,2021274,1633078813.425,GERES,GE_098,coh,-1,3,116.45092,3.1666616,0.26940183,0.014887586,6.8892899,0.2057611,11.279527,1.3458821,2,3,-1,2021-10-01 09:06:14
164352201,2021274,1633078900,GERES,GE_039,coh,-1,2,14.279624,4.1189856,0.15542964,0.011171409,6.8892603,0.2385889,45.071917,1.3458851,1.3333333,1,-1,2021-10-01 09:18:23
164352202,2021274,1633078918.2,GERES,GE_017,coh,-1,1.5,64.041231,5.4731653,0.20286731,0.019371483,5.7255864,0.17731389,26.648556,1.4732019,1,1,-1,2021-10-01 09:18:23
164352203,2021274,1633078929.975,GERES,GE_094,coh,-1,3,3.4330736,2.3719305,0.2572337,0.0106482,8.5216913,0.29109892,22.048907,1.1995536,2,1,-1,2021-10-01 09:18:23
164352468,2021274,1633080151,GERES,GE_046,coh,-1,2,305.53768,7.8291749,0.14451897,0.019732417,4.5727839,0.12587321,14.446458,1.6279091,1.3333333,3,-1,2021-10-01 09:36:24
164352469,2021274,1633080184.125,GERES,GE_077,coh,-1,3,172.74681,7.7810698,0.13306471,0.018057007,4.1584353,0.093879178,7.6673959,1.6932699,2,3,-1,2021-10-01 09:36:24
