"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1633010649.525,164335336,2021273,-1,-1,GE_026,P,-,1.5613265,58.24052,33.644562,3.2955745,1.9075053,-1,-1,0.34745165,0.5,-999,-,-,5.0373545,"2",,-1,2021-09-30 14:16:14
GERES,1633014462.275,164336360,2021273,-1,-1,GE_003,N,-,1.72,28.64133,9.9627077,19.764891,3.4324319,-1,-1,0.44103095,0.66666667,-999,-,-,3.4443996,"3",,-1,2021-09-30 15:16:35
GERES,1633047773.725,164344764,2021274,10478009,-1,GE_028,P,-,0.685,7.1250163,4.1555645,4.3031144,0.3120291,-1,-1,6.4542629,0.5,-999,-,-,91.57309,"1",,-1,2021-10-01 00:36:32
GERES,1633047778.975,164344765,2021274,10478009,-1,GE_017,tx,-,1.340433,316.97493,35.73353,5.4756699,3.3599212,-1,-1,2.4371587,0.66666667,-999,-,-,6.9440613,"3",,-1,2021-10-01 00:36:32
GERES,1633047786,164344766,2021274,-1,-1,GE_066,N,-,1.7072299,23.543445,7.0704466,20.376979,2.5129765,-1,-1,0.11079183,0.33333333,-999,-,-,4.074924,"3",,-1,2021-10-01 00:36:32
GERES,1633047795.075,164344767,2021274,10478009,-1,GE_024,tx,-,1.3904866,344.74488,23.056203,4.564142,1.8242742,-1,-1,2.635628,0.66666667,-999,-,-,6.4568925,"1",,-1,2021-10-01 00:36:32
GERES,1633047811.9,164344768,2021274,10478009,-1,GE_004,tx,-,1.72,12.407419,10.356016,6.8312429,1.2330437,-1,-1,2.7317462,0.66666667,-999,-,-,3.5241666,"1",,-1,2021-10-01 00:36:32
GERES,1633056779.7,164346822,2021274,-1,-1,GE_084,N,-,1.5160932,61.013675,6.3172198,17.060282,1.8800506,-1,-1,0.27810533,0.33333333,-999,-,-,5.3796043,"3",,-1,2021-10-01 03:06:25
GERES,1633056824.275,164346823,2021274,-1,-1,GE_096,Sx,-,1.1342101,68.153453,2.1185252,28.792458,1.0645474,-1,-1,0.90298339,0.33333333,-999,-,-,9.3705606,"1",,-1,2021-10-01 03:06:25
GERES,1633056832.55,164346824,2021274,-1,-1,GE_070,Sx,-,1.61023,59.390463,4.0189542,29.612109,2.0766854,-1,-1,0.57292426,0.33333333,-999,-,-,4.6917877,"3",,-1,2021-10-01 03:06:25
GERES,1633057125.925,164346825,2021274,-1,-1,GE_002,N,-,1.72,315.57873,18.25868,9.3413269,2.9642586,-1,-1,0.20833555,0.66666667,-999,-,-,3.5445969,"3",,-1,2021-10-01 03:06:25
GERES,1633078900,164352201,2021274,-1,-1,GE_039,N,-,1.3458851,14.279624,4.1189856,17.282999,1.2422049,-1,-1,1.6188447,0.5,-999,-,-,6.8892603,"1",,-1,2021-10-01 09:18:24
GERES,1633078918.2,164352202,2021274,-1,-1,GE_017,Sx,-,1.4732019,64.041231,5.4731653,22.557831,2.1540121,-1,-1,1.3051426,0.66666667,-999,-,-,5.7255864,"1",,-1,2021-10-01 09:18:24
GERES,1633078929.975,164352203,2021274,-1,-1,GE_094,N,-,1.1995536,3.4330736,2.3719305,28.603101,1.1840265,-1,-1,1.3494284,0.33333333,-999,-,-,8.5216913,"1",,-1,2021-10-01 09:18:24
GERES,1633080151,164352468,2021274,10478393,-1,GE_046,Pn,-,1.6279091,305.53768,7.8291749,16.069787,2.1941461,-1,-1,0.67032426,0.5,-999,-,-,4.5727839,"3",,-1,2021-10-01 09:36:24
